id	Alternatives	choice	price	energy_loss	maintenance	warranty	spare_parts	ease_install	problem_solving	quality	DA	DB	DC	DD	volume	district
1	ABB	0.0	6.0	6.0	7.0	6.0	6.0	5.0	7.0	5.0	1.0	0.0	0.0	0	761	1
1	GE	1.0	6.0	6.0	6.0	7.0	9.0	9.0	7.0	5.0	0.0	1.0	0.0	0	761	1
1	Westinghouse	0.0	6.0	5.0	7.0	5.0	3.0	4.0	7.0	6.0	0.0	0.0	1.0	0	761	1
1	Edison	0.0	5.0	5.0	6.0	7.0	8.0	2.0	6.0	5.0	0.0	0.0	0.0	1	761	1
2	ABB	0.0	3.0	4.0	5.0	4.0	4.0	5.0	6.0	4.0	1.0	0.0	0.0	0	627	1
2	GE	0.0	3.0	4.0	5.0	4.0	7.0	3.0	5.0	5.0	0.0	1.0	0.0	0	627	1
2	Westinghouse	0.0	4.0	5.0	5.0	5.0	5.0	7.0	6.0	4.0	0.0	0.0	1.0	0	627	1
2	Edison	1.0	4.0	5.0	6.0	5.0	4.0	5.0	5.0	6.0	0.0	0.0	0.0	1	627	1
3	ABB	1.0	6.0	6.0	7.0	7.0	6.0	7.0	7.0	6.0	1.0	0.0	0.0	0	643	2
3	GE	0.0	5.0	6.0	7.0	7.0	5.0	6.0	8.0	6.0	0.0	1.0	0.0	0	643	2
3	Westinghouse	0.0	5.0	6.0	7.0	5.0	5.0	8.0	6.0	5.0	0.0	0.0	1.0	0	643	2
3	Edison	0.0	6.0	5.0	5.0	4.0	2.0	8.0	6.0	5.0	0.0	0.0	0.0	1	643	2
4	ABB	0.0	6.0	6.0	5.0	5.0	4.0	5.0	5.0	5.0	1.0	0.0	0.0	0	562	3
4	GE	0.0	5.0	5.0	6.0	5.0	4.0	6.0	7.0	5.0	0.0	1.0	0.0	0	562	3
4	Westinghouse	0.0	4.0	4.0	5.0	4.0	6.0	7.0	5.0	3.0	0.0	0.0	1.0	0	562	3
4	Edison	1.0	4.0	4.0	6.0	7.0	7.0	8.0	7.0	5.0	0.0	0.0	0.0	1	562	3
5	ABB	0.0	4.0	4.0	6.0	8.0	7.0	1.0	5.0	4.0	1.0	0.0	0.0	0	469	3
5	GE	0.0	3.0	4.0	6.0	6.0	3.0	4.0	5.0	3.0	0.0	1.0	0.0	0	469	3
5	Westinghouse	1.0	5.0	5.0	4.0	5.0	6.0	5.0	6.0	4.0	0.0	0.0	1.0	0	469	3
5	Edison	0.0	2.0	3.0	6.0	4.0	4.0	2.0	5.0	3.0	0.0	0.0	0.0	1	469	3
6	ABB	0.0	5.0	4.0	5.0	4.0	6.0	7.0	6.0	5.0	1.0	0.0	0.0	0	233	1
6	GE	1.0	5.0	6.0	6.0	7.0	9.0	4.0	7.0	5.0	0.0	1.0	0.0	0	233	1
6	Westinghouse	0.0	4.0	6.0	6.0	7.0	7.0	5.0	6.0	5.0	0.0	0.0	1.0	0	233	1
6	Edison	0.0	3.0	5.0	7.0	8.0	5.0	6.0	6.0	4.0	0.0	0.0	0.0	1	233	1
7	ABB	0.0	6.0	6.0	7.0	6.0	3.0	5.0	6.0	6.0	1.0	0.0	0.0	0	664	3
7	GE	0.0	5.0	5.0	6.0	9.0	7.0	5.0	8.0	5.0	0.0	1.0	0.0	0	664	3
7	Westinghouse	0.0	4.0	5.0	7.0	7.0	5.0	6.0	6.0	6.0	0.0	0.0	1.0	0	664	3
7	Edison	1.0	5.0	6.0	7.0	7.0	6.0	8.0	6.0	6.0	0.0	0.0	0.0	1	664	3
8	ABB	0.0	3.0	4.0	5.0	1.0	3.0	4.0	3.0	4.0	1.0	0.0	0.0	0	767	3
8	GE	0.0	6.0	4.0	6.0	5.0	5.0	2.0	7.0	5.0	0.0	1.0	0.0	0	767	3
8	Westinghouse	0.0	4.0	5.0	4.0	2.0	3.0	3.0	5.0	4.0	0.0	0.0	1.0	0	767	3
8	Edison	1.0	5.0	5.0	5.0	5.0	4.0	8.0	5.0	5.0	0.0	0.0	0.0	1	767	3
9	ABB	0.0	7.0	6.0	5.0	5.0	7.0	2.0	5.0	6.0	1.0	0.0	0.0	0	467	1
9	GE	0.0	4.0	5.0	7.0	5.0	7.0	3.0	6.0	4.0	0.0	1.0	0.0	0	467	1
9	Westinghouse	0.0	6.0	6.0	6.0	5.0	7.0	5.0	6.0	6.0	0.0	0.0	1.0	0	467	1
9	Edison	1.0	4.0	5.0	7.0	9.0	4.0	7.0	8.0	6.0	0.0	0.0	0.0	1	467	1
10	ABB	0.0	5.0	5.0	7.0	6.0	6.0	7.0	6.0	5.0	1.0	0.0	0.0	0	844	1
10	GE	1.0	6.0	5.0	7.0	6.0	5.0	5.0	7.0	5.0	0.0	1.0	0.0	0	844	1
10	Westinghouse	0.0	5.0	5.0	5.0	1.0	2.0	4.0	6.0	5.0	0.0	0.0	1.0	0	844	1
10	Edison	0.0	5.0	4.0	5.0	2.0	6.0	5.0	5.0	5.0	0.0	0.0	0.0	1	844	1
11	ABB	1.0	5.0	5.0	6.0	5.0	6.0	5.0	5.0	5.0	1.0	0.0	0.0	0	1722	3
11	GE	0.0	5.0	5.0	7.0	4.0	5.0	4.0	5.0	5.0	0.0	1.0	0.0	0	1722	3
