id	Volume	District	firm_chosen
1	761	1	B
2	627	1	D
3	643	2	A
4	562	3	D
5	469	3	C
6	233	1	B
7	664	3	D
8	767	3	D
9	467	1	D
10	844	1	B
11	1722	3	A
12	928	1	D
13	466	2	A
14	211	1	C
15	696	2	B
16	894	3	B
17	1364	3	B
18	408	3	C
19	733	1	B
20	1009	2	B
21	749	3	A
22	518	2	B
23	871	2	D
24	322	1	A
25	800	2	C
26	899	2	D
27	871	1	D
28	855	3	D
29	290	2	D
30	672	1	B
31	37	2	C
32	6270	1	C
33	890	3	D
34	355	2	D
35	14798	2	D
36	511	3	C
37	767	2	A
38	182	2	A
39	796	1	C
40	808	1	C
41	444	1	A
42	752	1	A
43	12514	2	C
44	10997	2	A
45	415	1	A
46	251	2	C
47	956	2	B
48	335	2	C
49	37	3	C
50	584	3	A
51	777	1	C
52	787	2	C
53	989	2	C
54	660	1	A
55	728	2	D
56	216	2	C
57	736	1	A
58	700	3	A
59	65	2	C
60	464	1	B
61	462	3	A
62	289	2	C
63	198	2	C
64	438	1	B
65	504	1	D
66	9793	3	B
67	676	3	D
68	37	1	B
69	528	1	A
70	686	1	B
71	301	3	C
72	245	3	D
73	396	3	B
74	1219	1	B
75	267	1	D
76	760	2	C
77	777	2	C
78	226	2	D
79	199	3	C
80	547	1	C
81	618	2	B
82	307	1	B
83	629	3	C
84	1404	3	B
85	35	1	D
86	480	3	B
87	395	2	A
88	207	2	B
