"V1" "V2" "V3" "V4" "V5"
"1" 4 1 19970101 2 29.33
"2" 4 1 19970118 2 29.73
"3" 4 1 19970802 1 14.96
"4" 4 1 19971212 2 26.48
"5" 21 2 19970101 3 63.34
"6" 21 2 19970113 1 11.77
"7" 50 3 19970101 1 6.79
"8" 71 4 19970101 1 13.97
"9" 86 5 19970101 2 23.94
"10" 111 6 19970101 1 35.99
"11" 111 6 19970111 1 32.99
"12" 111 6 19970315 4 77.96
"13" 111 6 19970416 3 59.3
"14" 111 6 19970424 2 134.98
"15" 111 6 19970623 1 91.92
"16" 111 6 19970722 3 47.08
"17" 111 6 19970726 2 71.96
"18" 111 6 19971025 3 78.47
"19" 111 6 19971206 3 83.47
"20" 111 6 19980118 4 84.46
"21" 111 6 19980215 4 123.96
"22" 111 6 19980221 2 32.98
"23" 111 6 19980226 2 23.06
"24" 111 6 19980510 1 72.99
"25" 111 6 19980620 3 55.47
"26" 112 7 19970101 1 11.77
"27" 112 7 19970205 1 11.77
"28" 113 8 19970101 3 32.91
"29" 113 8 19980304 1 15.27
"30" 113 8 19980307 1 11.49
"31" 114 9 19970101 1 16.36
"32" 114 9 19970501 2 28.13
"33" 114 9 19970908 1 22.97
"34" 114 9 19980210 1 28.49
"35" 114 9 19980211 2 28.98
"36" 131 10 19970101 2 30.32
"37" 133 11 19970101 1 18.99
"38" 133 11 19970127 1 14.37
"39" 133 11 19970201 1 9.77
"40" 133 11 19970302 1 15.99
"41" 133 11 19970504 3 47.33
"42" 133 11 19970621 3 59.74
"43" 133 11 19971111 2 32.98
"44" 151 12 19970101 1 13.97
"45" 166 13 19970101 2 29.53
"46" 166 13 19971130 2 16.48
"47" 166 13 19971213 3 36.97
"48" 166 13 19971221 2 17.98
"49" 166 13 19971224 3 36.97
"50" 166 13 19980224 1 11.49
"51" 166 13 19980318 1 11.88
"52" 166 13 19980527 1 11.88
"53" 181 14 19970101 3 43.7
"54" 198 15 19970101 1 15.76
"55" 221 16 19970101 1 12.49
"56" 228 17 19970101 2 25.98
"57" 228 17 19970206 2 23.54
"58" 228 17 19970211 1 13.97
"59" 228 17 19970212 1 27.77
"60" 228 17 19970228 1 9.98
"61" 228 17 19970311 1 15.36
"62" 228 17 19970527 1 21.97
"63" 228 17 19970531 1 17.3
"64" 228 17 19970708 3 51.75
"65" 228 17 19970807 2 36.74
"66" 228 17 19970828 1 23.97
"67" 228 17 19971229 3 41.47
"68" 228 17 19980106 1 29.99
"69" 234 18 19970101 1 13.97
"70" 234 18 19970204 1 9.99
"71" 226 19 19970102 2 35.93
"72" 226 19 19970223 2 26.73
"73" 226 19 19970420 2 23.76
"74" 226 19 19970719 2 24.74
"75" 226 19 19980215 1 15.49
"76" 226 19 19980505 3 43.47
"77" 243 20 19970102 2 17.96
"78" 256 21 19970102 1 14.99
"79" 256 21 19970302 2 34.6
"80" 256 21 19970414 1 29.99
"81" 261 22 19970102 1 8.77
"82" 281 23 19970102 1 14.7
"83" 297 24 19970102 1 14.96
"84" 312 25 19970102 2 87.74
"85" 312 25 19971221 1 14.99
"86" 314 26 19970102 1 3.99
"87" 314 26 19970113 10 166.89
"88" 314 26 19970113 4 60.25
"89" 333 27 19970102 1 15.9
"90" 341 28 19970102 2 26.14
"91" 341 28 19970727 4 80.46
"92" 350 29 19970102 1 46.37
"93" 353 30 19970102 2 28.76
"94" 353 30 19970212 2 40.47
"95" 367 31 19970102 1 44.77
"96" 388 32 19970102 1 10.77
"97" 408 33 19970102 1 25.99
"98" 425 34 19970102 1 14.99
"99" 429 35 19970102 1 11.77
"100" 429 35 19970711 2 31.14
"101" 429 35 19980614 1 59.49
"102" 440 36 19970102 1 14.96
"103" 473 37 19970102 3 34.97
"104" 489 38 19970102 3 47
"105" 489 38 19970117 1 13.97
"106" 502 39 19970102 1 15.36
"107" 502 39 19971009 1 16.99
"108" 516 40 19970102 1 14.99
"109" 487 41 19970103 1 11.77
"110" 530 42 19970103 1 11.97
"111" 542 43 19970103 4 45.67
"112" 558 44 19970103 4 49.67
"113" 562 45 19970103 1 8.97
"114" 562 45 19970623 1 14.96
"115" 564 46 19970103 3 40.7
"116" 564 46 19970114 1 14.96
"117" 564 46 19970121 2 43.13
"118" 564 46 19970127 1 14.96
"119" 564 46 19970204 2 39.33
"120" 564 46 19970411 2 29.92
"121" 564 46 19970627 2 37.93
"122" 564 46 19970710 2 26.73
"123" 564 46 19970714 2 29.58
"124" 564 46 19970729 1 14.96
"125" 564 46 19970731 1 21.97
"126" 564 46 19970828 2 29.73
"127" 564 46 19970828 2 27.74
"128" 564 46 19970901 2 23.54
"129" 564 46 19971013 2 32.48
"130" 564 46 19971028 2 24.48
"131" 564 46 19971214 3 35.97
"132" 564 46 19980110 2 26.48
"133" 564 46 19980213 2 28.98
"134" 564 46 19980301 2 30.98
"135" 564 46 19980305 2 32.47
"136" 564 46 19980325 2 25.98
"137" 564 46 19980415 1 11.88
"138" 564 46 19980531 1 12.99
"139" 581 47 19970103 1 14.37
"140" 612 48 19970103 1 12.49
"141" 621 49 19970103 1 17.9
"142" 621 49 19970114 1 14.37
"143" 636 50 19970103 3 27.92
"144" 656 51 19970103 3 55.1
"145" 656 51 19980411 6 93.81
"146" 656 51 19980411 2 20.98
"147" 675 52 19970103 1 24.99
"148" 687 53 19970103 1 12.97
"149" 687 53 19980410 2 34.41
"150" 736 54 19970103 2 28.74
"151" 755 55 19970103 1 52.99
"152" 756 56 19970103 1 14.37
"153" 756 56 19970706 1 13.97
"154" 756 56 19970823 4 42.08
"155" 760 57 19970103 1 11.77
"156" 760 57 19970202 1 15.36
"157" 760 57 19980420 2 26.3
"158" 18 58 19970104 1 14.96
"159" 645 59 19970104 3 44.71
"160" 645 59 19970930 1 6.49
"161" 645 59 19971124 1 12.99
"162" 645 59 19980319 1 36.99
"163" 703 60 19970104 8 121.34
"164" 773 61 19970104 4 56.27
"165" 773 61 19970120 4 62.9
"166" 773 61 19970120 1 15.36
"167" 773 61 19970224 3 63.95
"168" 773 61 19970224 1 24.99
"169" 773 61 19970303 1 15.36
"170" 773 61 19970729 1 31.03
"171" 773 61 19971217 2 29.48
"172" 773 61 19971218 1 28.49
"173" 773 61 19971222 3 66.97
"174" 775 62 19970104 10 186.67
"175" 789 63 19970104 2 27.34
"176" 789 63 19970427 3 43.13
"177" 789 63 19980330 2 28.97
"178" 795 64 19970104 1 13.97
"179" 816 65 19970104 3 35.31
"180" 834 66 19970104 2 21.98
"181" 836 67 19970104 4 59.08
"182" 836 67 19970126 10 144.08
"183" 836 67 19970601 8 122.88
"184" 836 67 19971112 8 140.42
"185" 857 68 19970104 2 24.94
"186" 875 69 19970104 1 16.99
"187" 881 70 19970104 2 36.94
"188" 881 70 19970111 1 11.77
"189" 881 70 19970602 5 71.02
"190" 881 70 19970728 3 45.09
"191" 881 70 19980418 7 106.03
"192" 899 71 19970104 2 145.47
"193" 913 72 19970104 1 12.77
"194" 918 73 19970104 4 51.87
"195" 918 73 19970214 5 69.23
"196" 918 73 19971207 1 15.49
"197" 936 74 19970104 1 14.99
"198" 947 75 19970104 6 53.46
"199" 947 75 19970209 2 20.77
"200" 958 76 19970104 8 117.1
"201" 974 77 19970104 1 18.36
"202" 989 78 19970105 1 14.96
"203" 1012 79 19970105 1 13.97
"204" 1012 79 19970307 1 13.77
"205" 1012 79 19970322 1 14.37
"206" 1012 79 19970503 3 32.51
"207" 1014 80 19970105 5 96.36
"208" 1034 81 19970105 2 33.96
"209" 1035 82 19970105 5 66.84
"210" 1035 82 19970226 3 42.09
"211" 1050 83 19970105 2 21.76
"212" 1062 84 19970105 1 14.96
"213" 1080 85 19970105 1 14.99
"214" 1099 86 19970105 1 14.96
"215" 1099 86 19970203 2 24.74
"216" 1099 86 19970205 1 8
"217" 1099 86 19970225 1 13.97
"218" 1099 86 19970227 1 27.77
"219" 1099 86 19970318 3 45.28
"220" 1099 86 19970624 4 58.68
"221" 1099 86 19970709 1 14.96
"222" 1099 86 19971230 1 17.49
"223" 1099 86 19980227 1 18.49
"224" 1099 86 19980323 1 10.49
"225" 1099 86 19980617 3 46.47
"226" 1101 87 19970105 1 0
"227" 1108 88 19970105 1 16.3
"228" 1108 88 19970105 1 13.99
"229" 1108 88 19970214 2 14.96
"230" 1108 88 19970305 2 11.58
"231" 1108 88 19970326 1 6.79
"232" 1108 88 19970413 1 6.79
"233" 1108 88 19970724 1 12.25
"234" 1108 88 19970804 2 20.74
"235" 1108 88 19970824 1 11.77
"236" 1108 88 19970824 1 12.25
"237" 1108 88 19970903 1 14.96
"238" 1108 88 19970909 1 12.99
"239" 1108 88 19970910 1 11.49
"240" 1108 88 19971007 1 5.49
"241" 1108 88 19971118 1 4.49
"242" 1108 88 19971118 1 5.49
"243" 1108 88 19980301 1 5.49
"244" 1108 88 19980306 1 2.99
"245" 1131 89 19970105 5 71.63
"246" 1150 90 19970105 1 37.97
"247" 1158 91 19970105 6 79.94
"248" 1158 91 19970826 1 14.99
"249" 1167 92 19970105 4 47.28
"250" 1167 92 19970111 4 60.84
"251" 1167 92 19970114 2 19.94
"252" 1167 92 19970122 2 24.74
"253" 1167 92 19970210 2 23.54
"254" 1167 92 19970518 6 99.19
"255" 1167 92 19970924 3 76.97
"256" 1167 92 19980418 5 62.79
"257" 1174 93 19970105 1 34.9
"258" 1188 94 19970105 3 43.09
"259" 1209 95 19970105 3 31.51
"260" 1223 96 19970105 3 56.51
"261" 1240 97 19970105 2 36.36
"262" 1241 98 19970105 1 11.77
"263" 1241 98 19970622 2 25.74
"264" 1241 98 19970816 3 41.1
"265" 1241 98 19971221 1 14.99
"266" 1241 98 19980128 3 38.97
"267" 1251 99 19970105 1 6.79
"268" 1251 99 19970115 1 4.79
"269" 1251 99 19970824 2 24.5
"270" 1251 99 19970911 4 35.96
"271" 1251 99 19970925 2 17.48
"272" 1251 99 19980117 3 32.47
"273" 1251 99 19980326 3 58.97
"274" 1251 99 19980505 3 21.09
"275" 1252 100 19970105 1 16.99
"276" 1252 100 19970621 2 26.22
"277" 441 101 19970106 5 62.45
"278" 441 101 19970213 1 12.49
"279" 441 101 19970505 1 6.79
"280" 441 101 19970526 1 6.79
"281" 441 101 19970813 3 37.31
"282" 441 101 19970916 2 23.98
"283" 441 101 19971117 2 15.48
"284" 441 101 19971120 1 14.49
"285" 441 101 19971210 1 14.99
"286" 441 101 19980603 2 24.48
"287" 1115 102 19970106 1 19.99
"288" 1265 103 19970106 4 34.74
"289" 1280 104 19970106 1 22.7
"290" 1283 105 19970106 6 79.21
"291" 1283 105 19970624 7 92.8
"292" 1291 106 19970106 3 52.3
"293" 1291 106 19970218 3 52.3
"294" 1302 107 19970106 6 125.82
"295" 1317 108 19970106 2 32.98
"296" 1322 109 19970106 2 27.13
"297" 1322 109 19970108 3 39.09
"298" 1333 110 19970106 3 42.49
"299" 1333 110 19971108 2 29.48
"300" 1343 111 19970106 1 9.97
"301" 1343 111 19970108 1 12.97
"302" 1343 111 19980604 1 12.58
"303" 1350 112 19970106 7 156
"304" 1365 113 19970106 1 11.77
"305" 1377 114 19970106 1 14.37
"306" 1377 114 19970624 1 24.99
"307" 1380 115 19970106 2 29.33
"308" 1393 116 19970106 1 8.77
"309" 1393 116 19970212 3 28.31
"310" 1393 116 19980102 4 58.46
"311" 1393 116 19980526 3 14.47
"312" 1395 117 19970106 1 8.77
"313" 1420 118 19970106 1 11.77
"314" 1433 119 19970106 1 9.98
"315" 1446 120 19970106 1 19.77
"316" 1480 121 19970106 1 15.96
"317" 1480 121 19970127 1 13.77
"318" 1483 122 19970106 11 163.52
"319" 1504 123 19970106 1 24.99
"320" 1518 124 19970106 1 14.96
"321" 1528 125 19970106 1 10.99
"322" 1528 125 19970225 3 36.71
"323" 1528 125 19980213 1 7.49
"324" 719 126 19970107 2 34.98
"325" 1463 127 19970107 3 28.37
"326" 1540 128 19970107 1 10.77
"327" 1544 129 19970107 1 6.79
"328" 1544 129 19970109 2 9.58
"329" 1544 129 19970124 2 19.16
"330" 1544 129 19970213 1 13.97
"331" 1544 129 19970301 1 11.77
"332" 1560 130 19970107 1 12.77
"333" 1560 130 19970315 1 14.37
"334" 1560 130 19970619 2 28.74
"335" 1560 130 19970708 1 14.96
"336" 1561 131 19970107 4 49.87
"337" 1561 131 19971110 6 66.94
"338" 1568 132 19970107 1 27.99
"339" 1568 132 19970624 4 71.66
"340" 1583 133 19970107 1 13.7
"341" 1583 133 19970409 1 11.77
"342" 1583 133 19970725 1 15.96
"343" 1583 133 19980121 1 9.49
"344" 1583 133 19980305 1 11.49
"345" 1583 133 19980325 1 12.99
"346" 1583 133 19980603 1 12.58
"347" 1583 133 19980609 1 9.99
"348" 1585 134 19970107 1 8.77
"349" 1585 134 19980525 1 15.99
"350" 1596 135 19970107 2 35.36
"351" 1596 135 19970620 2 19.54
"352" 1596 135 19971208 4 44.96
"353" 1596 135 19980211 3 32.74
"354" 1605 136 19970107 2 44.98
"355" 1605 136 19970205 2 19.96
"356" 1605 136 19970228 1 26.99
"357" 1618 137 19970107 1 12.97
"358" 1623 138 19970107 1 14.99
"359" 1623 138 19970223 2 29.98
"360" 1623 138 19970505 5 73.62
"361" 1623 138 19971127 8 106.42
"362" 1623 138 19980319 3 30.4
"363" 1623 138 19980321 1 9.49
"364" 1623 138 19980505 7 97.95
"365" 1627 139 19970107 1 11.77
"366" 1627 139 19970122 2 29.33
"367" 1631 140 19970107 1 11.77
"368" 1631 140 19970427 2 23.54
"369" 1640 141 19970107 7 79.99
"370" 1647 142 19970107 2 59.98
"371" 1647 142 19970108 2 27.14
"372" 1647 142 19970109 4 51.66
"373" 1647 142 19970206 1 12.97
"374" 1647 142 19970207 2 26.14
"375" 1647 142 19970224 3 59.97
"376" 1647 142 19980108 1 13.99
"377" 1647 142 19980204 2 22.98
"378" 1655 143 19970107 2 26.73
"379" 1655 143 19970124 1 14.96
"380" 1655 143 19970726 1 15.36
"381" 1661 144 19970107 1 174.99
"382" 1661 144 19970121 2 45.35
"383" 1661 144 19970221 1 17.9
"384" 1661 144 19970228 1 15.7
"385" 1661 144 19970513 2 26.73
"386" 1661 144 19970729 1 31.03
"387" 1661 144 19970814 1 17.95
"388" 1661 144 19970903 1 5.78
"389" 1661 144 19971020 1 29.99
"390" 1661 144 19971021 1 11.49
"391" 1661 144 19971112 1 25.49
"392" 1661 144 19980212 1 14.49
"393" 1661 144 19980609 1 29.99
"394" 1663 145 19970107 1 14.96
"395" 1663 145 19970122 1 14.96
"396" 1663 145 19970914 1 22.99
"397" 1664 146 19970107 5 70.42
"398" 1668 147 19970107 1 13.97
"399" 1668 147 19970207 1 14.39
"400" 1668 147 19970515 2 41.95
"401" 1668 147 19970705 2 43.57
"402" 1668 147 19970731 1 9.77
"403" 1668 147 19970731 1 9.77
"404" 1668 147 19971211 1 14.99
"405" 1669 148 19970107 1 9.98
"406" 1669 148 19970117 3 44.32
"407" 1669 148 19970127 1 39.47
"408" 1669 148 19970305 2 73.98
"409" 1669 148 19970319 1 7.98
"410" 1669 148 19970324 1 12.77
"411" 1669 148 19970410 1 29.95
"412" 1669 148 19970805 3 30.54
"413" 1669 148 19970819 1 12.25
"414" 1669 148 19970819 1 17.7
"415" 1669 148 19970825 3 17.37
"416" 1669 148 19970826 2 26.73
"417" 1669 148 19970911 1 12.99
"418" 1669 148 19970917 8 43.92
"419" 1669 148 19970929 1 11.49
"420" 1669 148 19971006 2 24.48
"421" 1669 148 19971028 1 20.99
"422" 1669 148 19971209 2 27.98
"423" 1669 148 19980310 1 11.19
"424" 1669 148 19980310 2 25.98
"425" 1669 148 19980313 2 33.98
"426" 1686 149 19970107 1 13.97
"427" 1686 149 19971209 2 25.98
"428" 1686 149 19980130 2 28.48
"429" 1686 149 19980220 3 35.47
"430" 1686 149 19980419 1 21.22
"431" 1686 149 19980419 1 12.99
"432" 1686 149 19980428 1 15.99
"433" 1696 150 19970107 4 46.48
"434" 1696 150 19970122 3 35.31
"435" 1696 150 19970203 2 26.14
"436" 1696 150 19970731 2 28.93
"437" 1696 150 19970826 2 23.74
"438" 1696 150 19971114 2 22.48
"439" 1696 150 19971124 1 12.99
"440" 1705 151 19970107 1 11.77
"441" 1705 151 19970223 4 59.84
"442" 1705 151 19970714 1 14.79
"443" 1705 151 19970908 1 10.77
"444" 1705 151 19970911 1 14.37
"445" 1712 152 19970107 1 30.97
"446" 1733 153 19970107 1 11.77
"447" 1739 154 19970107 1 15.36
"448" 1739 154 19970127 1 16.7
"449" 1753 155 19970107 1 0
"450" 1758 156 19970107 1 11.77
"451" 1758 156 19970221 2 34.32
"452" 1760 157 19970107 1 11.99
"453" 1760 157 19970110 1 9.97
"454" 1760 157 19970114 1 13.97
"455" 1760 157 19970119 3 46.08
"456" 1760 157 19970122 1 5.99
"457" 1760 157 19970129 2 27.94
"458" 1760 157 19970203 2 23.98
"459" 1760 157 19970215 4 55.47
"460" 1760 157 19970314 1 14.99
"461" 1760 157 19970320 1 14.96
"462" 1760 157 19970402 1 14.96
"463" 1760 157 19970404 5 72.44
"464" 1760 157 19970408 2 27.94
"465" 1760 157 19970418 1 14.96
"466" 1760 157 19970418 1 11.97
"467" 1760 157 19970420 1 14.96
"468" 1760 157 19970504 1 12.77
"469" 1760 157 19970508 1 14.96
"470" 1760 157 19970515 1 12.77
"471" 1760 157 19970602 3 41.69
"472" 1760 157 19970627 2 29.92
"473" 1760 157 19970706 1 15.36
"474" 1760 157 19970722 1 15.96
"475" 1760 157 19970731 1 14.96
"476" 1760 157 19970803 1 14.96
"477" 1760 157 19970820 2 29.92
"478" 1760 157 19970906 1 15.36
"479" 1760 157 19970911 3 39.97
"480" 1760 157 19970916 2 25.98
"481" 1760 157 19970927 4 57.96
"482" 1760 157 19970928 4 48.46
"483" 1760 157 19971007 1 12.49
"484" 1760 157 19971025 2 25.98
"485" 1760 157 19971025 1 13.99
"486" 1760 157 19971102 1 12.99
"487" 1760 157 19971123 1 13.99
"488" 1760 157 19971125 2 29.98
"489" 1760 157 19971125 1 7.49
"490" 1760 157 19971217 1 12.99
"491" 1760 157 19971218 2 25.98
"492" 1760 157 19971224 1 12.99
"493" 1760 157 19980102 1 12.99
"494" 1760 157 19980127 1 14.99
"495" 1760 157 19980310 2 42.98
"496" 1760 157 19980412 1 11.88
"497" 1760 157 19980517 3 60.45
"498" 1760 157 19980611 4 37.96
"499" 1783 158 19970108 1 14.37
"500" 1792 159 19970108 2 30.36
"501" 1792 159 19970109 4 59.06
"502" 1792 159 19970128 3 50.97
"503" 1792 159 19970630 2 29.73
"504" 1809 160 19970108 2 31.54
"505" 1825 161 19970108 4 63.93
"506" 1825 161 19980609 1 14.49
"507" 1828 162 19970108 2 26.14
"508" 1828 162 19970122 3 46.28
"509" 1839 163 19970108 1 73.3
"510" 1845 164 19970108 1 17.7
"511" 1845 164 19970125 10 139.7
"512" 1845 164 19970325 6 78.22
"513" 1845 164 19970414 4 52.68
"514" 1845 164 19970624 3 40.7
"515" 1845 164 19970714 5 69.63
"516" 1845 164 19970715 2 26.74
"517" 1845 164 19970722 4 57.45
"518" 1845 164 19970825 6 72.82
"519" 1845 164 19970904 4 49.48
"520" 1845 164 19970924 3 36.97
"521" 1845 164 19971022 5 72.95
"522" 1845 164 19980106 2 24.48
"523" 1845 164 19980107 4 107.96
"524" 1845 164 19980205 2 29.06
"525" 1845 164 19980324 1 8.49
"526" 1845 164 19980406 2 26.48
"527" 1858 165 19970108 2 24.98
"528" 1858 165 19970108 2 28.74
"529" 1877 166 19970108 3 49.08
"530" 1877 166 19980129 4 51.96
"531" 1890 167 19970108 1 12.49
"532" 1890 167 19970205 4 49.96
"533" 1890 167 19970310 2 13.58
"534" 1890 167 19970315 1 12.79
"535" 1890 167 19970416 2 24.98
"536" 1890 167 19970514 7 100.93
"537" 1890 167 19970515 3 32.3
"538" 1890 167 19970516 2 11.58
"539" 1890 167 19970519 2 20.76
"540" 1890 167 19970520 3 28.81
"541" 1890 167 19970606 1 5.78
"542" 1890 167 19970624 1 12.25
"543" 1890 167 19970723 1 4.99
"544" 1890 167 19970724 1 12.25
"545" 1890 167 19971014 4 49.96
"546" 1890 167 19971020 1 11.49
"547" 1890 167 19971024 2 24.98
"548" 1890 167 19971107 4 35.96
"549" 1890 167 19971118 1 12.49
"550" 1890 167 19971120 3 47.97
"551" 1890 167 19971201 2 16.98
"552" 1890 167 19980102 2 53.48
"553" 1890 167 19980106 4 63.96
"554" 1890 167 19980111 5 105.95
"555" 1890 167 19980127 5 66.95
"556" 1890 167 19980209 2 24.98
"557" 1890 167 19980218 1 11.02
"558" 1890 167 19980320 1 5.99
"559" 1890 167 19980328 3 40.97
"560" 1890 167 19980513 3 41.97
"561" 1894 168 19970108 1 14.37
"562" 1908 169 19970108 2 25.77
"563" 1919 170 19970108 1 18.99
"564" 1919 170 19970927 1 14.49
"565" 1919 170 19971129 1 13.99
"566" 1919 170 19980411 1 14.49
"567" 1928 171 19970108 1 64.99
"568" 1944 172 19970108 1 51.37
"569" 1956 173 19970108 8 93.57
"570" 1971 174 19970108 1 18.36
"571" 1985 175 19970108 1 6.79
"572" 1402 176 19970109 10 166.3
"573" 1763 177 19970109 1 12.49
"574" 1893 178 19970109 5 63.29
"575" 1893 178 19970117 6 70.62
"576" 1893 178 19970328 2 38.93
"577" 1893 178 19970519 3 41.31
"578" 1893 178 19970629 1 11.77
"579" 1893 178 19970810 1 17.7
"580" 1893 178 19970827 2 30.72
"581" 1893 178 19971112 3 45.47
"582" 1893 178 19971127 2 25.98
"583" 1893 178 19980113 2 25.98
"584" 1893 178 19980116 2 25.98
"585" 1893 178 19980221 2 23.98
"586" 1893 178 19980228 2 25.98
"587" 1893 178 19980313 2 25.98
"588" 1893 178 19980507 1 15.49
"589" 1991 179 19970109 4 47.08
"590" 1991 179 19970203 3 29.97
"591" 1991 179 19970209 4 68.45
"592" 1991 179 19970302 2 55.96
"593" 1991 179 19970324 5 62.93
"594" 1991 179 19970416 3 40.7
"595" 1991 179 19970621 3 47.28
"596" 1991 179 19970713 2 31.76
"597" 1991 179 19970919 4 56.96
"598" 1991 179 19971123 1 9.99
"599" 1991 179 19971123 2 98.98
"600" 1991 179 19971130 1 39.49
"601" 1991 179 19971227 3 38.97
"602" 1991 179 19980119 5 70.47
"603" 1991 179 19980222 4 56.05
"604" 1991 179 19980407 3 43.36
"605" 1991 179 19980408 1 21.99
"606" 2005 180 19970109 1 17.96
"607" 2030 181 19970109 1 15.76
"608" 2049 182 19970109 1 12.97
"609" 2053 183 19970109 1 15.36
"610" 2053 183 19970213 1 15.76
"611" 2053 183 19971114 2 20.98
"612" 2053 183 19980421 2 16.98
"613" 2053 183 19980508 1 14.99
"614" 2071 184 19970109 1 8.77
"615" 2072 185 19970109 3 27.55
"616" 2072 185 19970111 2 27.94
"617" 2072 185 19970118 2 29.78
"618" 2072 185 19970223 1 14.96
"619" 2072 185 19970919 3 62.97
"620" 2072 185 19971105 2 10.98
"621" 2072 185 19980612 1 20.99
"622" 2087 186 19970109 1 14.96
"623" 2099 187 19970109 1 13.97
"624" 2099 187 19970207 1 13.77
"625" 2099 187 19970305 1 9.97
"626" 2099 187 19980220 1 12.49
"627" 2102 188 19970109 1 3.99
"628" 2102 188 19970320 2 23.76
"629" 2102 188 19970401 3 44.69
"630" 2102 188 19970606 3 45.51
"631" 2102 188 19971223 3 41.47
"632" 2104 189 19970109 4 51.86
"633" 2104 189 19970205 1 11.77
"634" 2104 189 19970217 2 29.13
"635" 2104 189 19970220 3 44.49
"636" 2109 190 19970109 1 28.99
"637" 2127 191 19970109 2 27.94
"638" 2142 192 19970109 2 30.54
"639" 2161 193 19970109 3 52.63
"640" 2180 194 19970109 1 16.99
"641" 2194 195 19970109 1 14.3
"642" 2194 195 19970210 1 22.97
"643" 2194 195 19970509 2 16.56
"644" 2194 195 19970527 2 48.94
"645" 2194 195 19970611 1 39.51
"646" 2194 195 19970616 1 10.77
"647" 2194 195 19970717 1 33.86
"648" 2199 196 19970109 3 36.75
"649" 2202 197 19970109 2 29.36
"650" 2202 197 19970120 2 27.13
"651" 2217 198 19970109 3 46.68
"652" 2217 198 19971102 1 29.49
"653" 2235 199 19970109 1 27.77
"654" 780 200 19970110 3 47.73
"655" 780 200 19970201 1 23.99
"656" 780 200 19970420 3 58.97
"657" 780 200 19980110 1 11.49
"658" 2254 201 19970110 2 21.54
"659" 2272 202 19970110 1 12.49
"660" 2272 202 19970204 2 25.26
"661" 2272 202 19970228 1 12.49
"662" 2289 203 19970110 1 16.7
"663" 2289 203 19970701 1 15.96
"664" 2289 203 19970815 1 27.77
"665" 2294 204 19970110 2 28.35
"666" 2319 205 19970110 1 10.77
"667" 2331 206 19970110 4 56.87
"668" 2331 206 19970516 1 14.96
"669" 2336 207 19970110 1 12.99
"670" 2361 208 19970110 4 82.96
"671" 2361 208 19970112 2 34.27
"672" 2363 209 19970110 1 14.37
"673" 2379 210 19970110 3 59.97
"674" 2389 211 19970110 3 35.31
"675" 2389 211 19970211 3 61.11
"676" 2389 211 19970223 5 141.6
"677" 2389 211 19970314 3 37.51
"678" 2389 211 19970322 6 80.21
"679" 2389 211 19970411 5 68.05
"680" 2389 211 19970502 5 62.25
"681" 2389 211 19970515 4 51.94
"682" 2389 211 19971113 5 92.95
"683" 2389 211 19971125 2 24.48
"684" 2389 211 19971203 1 21.49
"685" 2389 211 19971230 2 30.98
"686" 2389 211 19980323 2 41.48
"687" 2389 211 19980627 3 61.47
"688" 2398 212 19970110 1 31.98
"689" 2419 213 19970110 1 13.97
"690" 2419 213 19980614 6 81.44
"691" 2442 214 19970110 1 14.96
"692" 2445 215 19970110 1 19.99
"693" 2445 215 19970727 1 14.96
"694" 2445 215 19970801 1 13.97
"695" 2445 215 19971208 2 24.48
"696" 2455 216 19970110 1 14.96
"697" 2455 216 19980328 2 24.98
"698" 2457 217 19970110 1 13.97
"699" 2457 217 19970128 2 25.74
"700" 2457 217 19970226 3 37.9
"701" 2457 217 19970614 3 44.29
"702" 2457 217 19970629 3 41.1
"703" 2457 217 19980418 2 25.98
"704" 208 218 19970111 5 63.25
"705" 208 218 19980221 5 70.38
"706" 2181 219 19970111 3 41.75
"707" 2181 219 19970425 1 14.99
"708" 2471 220 19970111 1 21.99
"709" 2471 220 19970722 2 21.74
"710" 2478 221 19970111 1 21.77
"711" 2492 222 19970111 1 11.77
"712" 2508 223 19970111 5 69.29
"713" 2521 224 19970111 1 11.77
"714" 2537 225 19970111 2 24.54
"715" 2541 226 19970111 1 11.77
"716" 2541 226 19970208 1 15.7
"717" 2541 226 19970401 1 24.99
"718" 2556 227 19970111 1 0
"719" 2563 228 19970111 1 22.97
"720" 2563 228 19970125 1 13.97
"721" 2568 229 19970111 2 22.74
"722" 2568 229 19970124 1 9.77
"723" 2578 230 19970111 1 12.49
"724" 2578 230 19970827 5 50.52
"725" 2578 230 19970830 1 6.78
"726" 2578 230 19980528 1 23.99
"727" 2591 231 19970111 4 58.28
"728" 2591 231 19971119 1 22.49
"729" 2591 231 19980512 5 72.04
"730" 2597 232 19970111 1 17.36
"731" 2597 232 19970601 2 29.73
"732" 2597 232 19970618 2 26.14
"733" 2597 232 19970924 1 10.99
"734" 2597 232 19971120 1 76.99
"735" 2597 232 19980516 2 18.64
"736" 2597 232 19980531 2 26.57
"737" 2597 232 19980622 3 38.47
"738" 2610 233 19970111 2 29.92
"739" 2625 234 19970111 3 35.31
"740" 2645 235 19970111 1 11.77
"741" 2665 236 19970111 1 5.78
"742" 2681 237 19970111 1 15.96
