choice	gender	amount	freq	last	first	child	youth	cook	diy	art
1	1	113	8	1	8	0	1	0	0	0
1	1	418	6	11	66	0	2	3	2	3
1	1	336	18	6	32	2	0	1	1	2
1	1	180	16	5	42	2	0	0	1	1
1	0	320	2	3	18	0	0	0	1	2
1	1	268	4	1	4	0	0	0	0	0
1	1	198	2	12	62	2	3	2	1	2
1	0	280	6	2	12	0	2	0	0	0
1	1	393	12	11	50	3	0	3	0	2
1	1	138	10	7	38	2	3	0	0	1
1	0	142	14	2	20	0	1	0	0	1
1	0	251	10	2	18	0	0	2	0	0
1	0	130	14	2	18	1	0	0	0	0
1	1	308	6	1	6	0	0	0	0	1
1	1	251	10	2	18	1	0	0	0	1
1	1	249	16	1	16	1	0	0	0	0
1	1	311	14	9	50	0	0	2	1	0
1	0	180	8	2	12	0	1	0	1	0
1	0	227	30	2	34	1	0	0	0	1
1	1	44	2	1	2	0	0	1	0	0
1	1	207	4	7	22	2	1	1	0	1
1	1	239	14	2	22	1	0	1	0	0
1	1	154	10	7	46	0	2	0	1	1
1	0	218	4	2	6	2	0	0	0	0
1	0	273	10	2	12	2	0	0	0	0
1	1	250	10	1	10	1	0	0	0	0
1	1	235	10	9	40	3	0	1	1	1
1	0	100	22	2	26	0	0	0	1	1
1	1	140	2	1	2	1	0	0	0	0
1	1	331	10	7	48	1	0	1	0	2
1	0	309	4	2	8	0	0	1	0	0
1	1	280	10	1	10	1	0	0	0	0
1	0	90	4	1	4	0	0	0	0	0
1	0	331	4	7	28	3	0	2	0	2
1	1	312	8	2	10	0	0	0	1	0
1	0	164	10	9	46	0	2	3	0	0
1	1	172	14	5	38	0	0	1	2	1
1	0	285	16	4	28	0	0	3	0	0
1	0	386	6	11	36	4	0	1	0	2
1	1	428	2	9	22	2	1	1	0	2
1	1	396	12	12	68	6	0	3	0	2
1	1	377	8	11	36	3	2	3	0	1
1	0	103	8	1	8	1	0	0	0	0
1	1	204	14	2	22	0	0	1	0	0
1	1	161	10	1	10	0	0	0	0	1
1	0	165	2	11	48	1	0	3	2	0
1	1	66	10	1	10	0	0	1	0	0
1	1	318	14	9	66	5	1	0	0	1
1	1	159	10	9	46	2	0	1	0	5
1	0	80	2	2	6	1	0	1	0	0
1	1	163	10	2	18	0	0	1	0	0
1	0	213	10	3	22	0	1	0	0	2
1	1	400	10	10	34	1	0	1	1	3
1	0	183	8	12	66	4	0	2	1	4
1	0	151	8	1	8	0	0	0	1	0
1	0	240	16	2	18	0	1	1	0	0
1	0	97	6	1	6	0	0	0	0	1
1	0	267	6	3	12	2	0	0	0	0
1	0	136	6	5	28	1	1	2	0	1
1	0	129	4	3	18	1	0	0	1	1
1	1	89	4	2	6	0	0	0	0	1
1	0	283	8	12	62	5	0	4	0	1
1	1	266	10	9	50	0	0	5	0	2
1	1	240	2	2	8	0	1	0	0	1
1	1	144	12	1	12	0	1	0	0	0
1	0	74	2	2	6	0	0	0	1	1
1	1	163	6	2	8	1	0	1	0	0
1	1	70	2	1	2	0	0	0	0	0
1	1	251	4	2	8	0	0	0	0	1
1	1	288	30	1	30	0	0	0	1	0
1	0	304	2	3	10	1	0	0	0	1
1	1	249	14	4	30	0	0	0	0	2
1	1	310	2	1	2	0	0	0	0	0
1	1	176	8	11	64	2	0	2	0	3
1	1	276	10	2	14	0	0	1	1	0
1	1	272	16	1	16	0	0	0	0	1
1	1	385	2	9	34	4	1	0	1	2
1	1	261	14	7	40	1	1	0	0	4
1	0	194	16	4	32	0	0	1	1	2
1	0	195	4	4	16	1	0	1	0	1
1	1	250	6	1	6	0	0	0	1	0
1	1	474	12	12	46	2	1	1	1	4
1	1	219	10	7	34	1	1	1	0	1
1	0	122	8	7	26	1	0	2	1	1
1	1	170	4	1	4	0	0	1	0	0
1	0	306	8	1	8	0	0	1	0	0
1	0	276	14	2	16	0	0	0	0	1
1	0	183	20	1	20	0	0	0	0	1
1	0	18	14	1	14	0	1	0	0	0
1	1	130	12	1	12	0	0	0	1	0
1	0	169	4	11	50	1	0	2	4	3
1	1	181	6	1	6	0	0	0	0	1
1	1	304	6	1	6	0	0	0	0	1
1	1	177	14	1	14	0	0	0	1	0
1	1	361	6	6	36	1	0	2	0	2
1	1	245	30	1	30	0	0	0	0	1
1	1	237	6	4	16	0	0	1	0	3
1	1	273	14	5	30	0	0	0	1	2
1	1	168	6	2	12	1	0	0	0	1
1	1	262	30	1	30	1	0	0	0	0
1	1	295	10	1	10	0	0	1	0	0
1	0	223	10	1	10	0	0	0	0	1
1	1	276	4	1	4	0	1	0	0	0
1	0	115	4	2	12	1	0	1	0	0
1	1	297	14	2	22	1	0	0	0	0
1	0	296	8	6	32	0	1	2	0	2
1	0	198	16	5	36	1	0	1	1	2
1	0	234	8	5	24	2	0	0	1	2
1	1	184	10	10	66	1	2	1	1	3
1	0	280	10	8	34	1	1	4	0	0
1	0	414	2	8	46	3	1	0	0	3
1	0	72	8	2	16	0	1	0	0	1
1	0	287	16	1	16	0	0	0	0	0
1	0	126	14	2	20	0	0	1	1	0
1	1	253	10	1	10	0	0	0	0	1
1	0	212	16	5	38	1	0	1	2	0
1	0	77	2	2	4	0	0	1	0	1
1	0	181	14	1	14	0	0	0	0	0
1	0	148	6	4	20	0	1	1	0	2
1	1	247	16	2	18	1	0	0	0	0
1	0	129	4	1	4	0	0	0	0	0
1	1	133	2	8	20	0	2	2	0	0
1	0	193	10	2	18	0	0	1	0	1
1	1	224	10	10	62	3	0	2	0	3
1	1	210	2	6	36	2	0	1	0	1
1	0	405	6	12	70	5	0	0	2	3
1	1	257	6	2	8	0	0	2	0	0
1	1	159	4	7	18	1	0	1	0	1
1	0	225	8	2	12	1	0	0	0	0
1	0	287	12	2	16	0	0	0	0	0
1	0	228	4	2	6	1	0	1	0	0
1	1	229	16	1	16	0	0	0	0	0
1	1	315	2	2	10	0	0	0	0	2
1	1	291	2	1	2	0	0	0	0	1
1	1	176	20	3	36	1	0	1	0	1
1	1	322	12	12	74	3	2	1	1	4
1	1	303	28	2	32	1	0	0	0	1
1	1	241	10	2	16	1	0	0	0	0
1	1	303	2	2	6	0	1	0	0	1
1	1	305	2	2	10	0	0	1	1	0
1	1	165	12	8	32	1	2	1	2	1
1	1	268	8	4	30	1	1	0	0	2
1	0	230	4	1	4	0	0	0	0	1
1	1	22	2	1	2	0	0	0	0	1
1	1	75	4	4	26	0	1	0	1	0
1	0	356	4	6	22	2	1	0	1	0
1	0	270	4	4	22	2	2	0	0	0
1	0	264	4	12	30	4	2	2	0	1
1	1	314	4	2	8	1	0	0	1	0
1	0	155	30	6	44	1	0	3	0	0
1	0	48	10	1	10	0	1	0	0	0
1	1	84	2	2	4	0	0	0	0	1
1	0	228	8	1	8	0	0	0	0	1
1	1	224	10	4	32	1	1	1	0	1
1	1	315	14	4	24	0	1	0	0	1
1	0	192	10	1	10	0	0	1	0	0
1	1	246	12	11	38	3	0	4	0	0
1	0	219	10	6	28	2	0	1	0	2
1	0	265	4	2	8	0	0	0	2	0
1	0	316	12	3	20	0	0	0	0	1
1	0	248	16	8	38	3	0	2	1	1
1	1	340	8	3	16	0	0	0	0	2
1	1	281	12	2	16	0	0	1	0	1
1	0	200	16	2	18	2	0	0	0	0
1	1	243	16	2	24	1	0	1	0	0
1	0	187	12	2	18	0	0	1	0	0
1	0	147	8	2	12	0	0	0	0	1
1	1	213	2	2	8	0	0	0	0	1
1	0	171	2	2	10	1	0	1	0	0
1	1	127	2	4	16	0	1	0	1	1
1	0	179	8	5	24	1	1	2	0	0
1	1	237	12	1	12	0	0	1	0	0
1	0	274	2	1	2	0	0	1	0	0
1	0	410	12	11	46	2	0	4	2	2
1	1	118	8	2	12	0	0	0	1	0
1	1	255	6	11	68	1	2	2	2	3
1	0	216	2	2	4	1	0	0	1	0
1	1	183	2	1	2	1	0	0	0	0
1	1	338	4	12	50	1	4	1	1	2
1	0	252	24	1	24	0	0	0	0	0
1	1	47	2	3	10	0	0	0	0	2
1	0	338	16	5	28	2	1	1	1	0
1	1	43	2	2	4	0	1	1	0	0
1	1	289	4	6	28	0	0	2	1	1
1	0	285	8	1	8	1	0	0	0	0
1	0	259	14	7	34	1	0	3	0	1
1	1	272	12	1	12	0	0	0	0	0
1	0	203	12	1	12	0	0	0	1	0
1	1	274	8	1	8	0	0	0	0	1
1	0	257	20	6	38	1	0	0	0	1
1	1	125	16	2	18	0	0	0	0	0
1	1	262	10	1	10	0	0	0	1	0
1	0	97	16	6	42	2	1	2	0	1
1	1	80	14	1	14	0	0	0	1	0
1	0	243	12	9	52	2	1	1	1	3
1	1	120	4	2	6	0	0	2	0	0
1	1	280	6	11	66	5	1	1	0	1
1	1	216	2	1	2	0	0	0	0	0
1	1	216	10	1	10	0	1	0	0	0
1	0	53	2	1	2	0	0	0	0	1
1	0	352	16	7	56	2	0	1	1	0
1	0	39	26	1	26	0	1	0	0	0
1	0	139	12	2	20	1	0	0	0	0
1	0	256	4	2	8	1	0	1	0	0
1	1	248	14	1	14	0	0	1	0	0
1	0	172	8	2	14	0	0	1	0	0
1	1	254	10	2	12	0	0	1	0	1
1	1	232	8	8	52	1	2	2	0	0
1	0	145	6	3	12	2	0	0	1	0
1	1	192	12	1	12	0	0	0	0	1
1	1	149	2	5	26	0	1	1	0	3
1	1	232	2	5	24	1	2	0	0	0
1	1	276	8	2	12	1	0	1	0	0
1	0	222	14	2	20	0	0	0	0	1
1	0	90	2	3	16	1	0	1	1	0
1	0	206	14	1	14	0	0	0	0	0
1	0	202	10	6	40	0	0	0	0	3
1	1	261	6	11	38	2	0	3	3	2
1	0	262	6	12	32	1	2	1	3	3
1	1	266	6	2	14	0	0	0	1	1
1	0	223	2	3	12	2	0	0	0	1
1	0	321	14	2	18	0	0	0	1	1
1	1	216	14	5	36	1	0	1	0	3
1	1	222	14	9	50	2	1	1	1	4
1	0	213	8	1	8	0	0	0	0	0
1	0	122	2	3	12	0	0	0	0	1
