Observations	BS-Reputation1	BS-Reputation2	TWorkExperience	RWorkExperience	MaSpecialization1	MaSpecialization2	MiSpecialization1	MiSpecialization2	UGDegree1	UGDegree2	PercentileClass1	PercentileClass2	ResumeValue	CamPlaceProspects	PracInsights	JobSwitching	Convenience	PriceSensitive	Com-e-Learning
Resp1	1	0	38	6	1	0	0	1	0	1	0	1	2	2	5	3	2	4	4
Resp 2	1	0	20	0	1	0	0	1	0	1	0	1	2	2	5	4	5	3	3
Resp3	1	0	0	0	0	1	1	0	0	1	0	0	2	4	3	3	4	2	4
Resp4	1	0	54	0	1	0	0	1	0	1	0	0	2	1	5	5	5	4	3
Resp5	1	0	24	24	1	0	0	1	1	0	0	1	3	1	4	2	2	5	2
Resp6	1	0	18	18	1	0	0	1	1	0	0	0	3	1	4	3	4	3	5
Resp7	1	0	0	0	1	0	0	1	1	0	0	0	2	5	2	2	3	3	3
Resp8	1	0	12	0	0	1	1	0	0	0	0	0	4	1	4	2	3	5	1
Resp9	1	0	15	0	1	0	0	0	1	0	0	0	3	2	5	4	4	5	4
Resp10	1	0	12	0	1	0	0	1	0	1	1	0	2	3	2	2	5	4	2
Resp11	0	1	0	0	1	0	0	1	1	0	0	1	2	2	3	2	2	3	3
Resp12	0	1	24	12	1	0	0	0	0	1	0	0	4	4	3	4	2	3	5
Resp13	0	1	30	30	1	0	0	1	1	0	0	1	2	1	3	4	4	3	5
Resp14	0	1	0	0	1	0	0	1	0	0	0	0	1	4	3	3	2	2	3
Resp15	0	1	48	0	1	0	0	0	0	1	0	0	5	5	4	5	4	2	5
Resp16	0	1	8	0	0	1	1	0	1	0	0	0	4	4	4	4	4	4	3
Resp17	0	1	24	0	0	0	1	0	0	1	0	1	4	5	2	5	5	2	4
Resp18	0	1	18	18	1	0	0	1	1	0	0	0	3	5	5	5	2	2	5
Resp19	0	1	15	0	0	0	1	0	0	1	1	0	3	4	2	4	2	2	3
Resp20	0	1	0	0	1	0	0	0	0	1	0	1	2	5	2	2	5	2	4
Resp21	0	1	0	0	0	0	1	0	0	1	1	0	3	2	2	1	4	3	1
Resp22	0	1	0	0	1	0	0	1	0	1	0	0	5	5	3	2	3	1	4
Resp23	0	1	39	0	0	1	1	0	1	0	0	1	1	5	1	5	5	2	3
Resp24	0	1	0	0	0	1	1	0	0	0	0	0	5	4	4	4	4	2	1
Resp25	0	1	6	6	1	0	0	1	1	0	1	0	2	3	5	3	4	2	2
Resp26	0	1	0	0	0	0	1	0	0	0	0	0	3	3	2	2	2	5	2
Resp27	0	1	12	0	1	0	0	1	0	0	0	0	4	5	4	5	5	3	1
Resp28	0	1	14	0	1	0	0	0	0	1	0	1	3	3	3	4	3	1	5
Resp29	0	1	10	0	1	0	0	0	1	0	1	0	4	3	3	1	3	2	1
Resp30	0	1	12	0	1	0	0	1	0	0	0	1	5	4	3	4	3	3	2
Resp31	0	1	0	0	0	0	1	0	0	1	0	1	2	5	5	2	3	3	5
Resp32	0	1	0	0	0	1	1	0	0	1	0	1	2	5	3	3	4	3	3
Resp33	0	1	12	0	0	0	1	0	0	1	1	0	3	5	3	2	1	2	4
Resp34	0	1	12	0	0	0	1	0	0	1	0	0	5	3	5	5	2	4	2
Resp35	0	1	0	0	0	0	1	0	0	1	0	1	3	5	2	2	5	3	5
Resp36	0	1	0	0	0	1	1	0	1	0	0	0	4	3	5	1	5	3	2
Resp37	0	1	44	12	1	0	0	0	0	1	0	1	4	3	2	5	2	2	4
Resp38	0	1	0	0	0	0	1	0	0	0	0	0	3	5	3	2	2	2	1
Resp39	0	1	6	6	1	0	0	0	1	0	1	0	1	2	2	1	2	4	3
Resp40	0	0	24	0	0	0	1	0	0	1	1	0	3	4	4	4	2	3	2
Resp41	0	0	12	12	1	0	0	1	1	0	0	1	5	5	3	5	2	3	2
Resp42	0	0	0	0	1	0	0	0	0	1	0	1	3	4	2	2	1	4	5
Resp43	0	0	0	0	0	1	1	0	1	0	1	0	5	4	3	3	5	1	3
Resp44	0	0	0	0	1	0	0	0	1	0	0	0	5	5	4	2	2	2	3
Resp45	0	0	0	0	0	0	1	0	1	0	1	0	4	4	2	3	2	4	1
Resp46	0	0	0	0	0	0	1	0	0	1	0	1	4	5	1	1	1	4	4
Resp47	0	0	12	12	1	0	0	0	0	1	0	1	5	5	4	2	4	2	5
Resp48	0	0	6	0	0	0	1	0	1	0	1	0	3	3	2	3	3	5	1
Resp49	0	0	0	0	0	0	1	0	0	1	0	1	4	5	3	1	3	3	3
Resp50	0	0	0	0	0	1	1	0	0	1	0	0	5	5	1	3	1	2	4
