	G20	FORD	AUDI	TOYOTA	EAGLE	HONDA	SAAB	PONTIAC	BMW	MERCURY
Atract	5.6	4	4.6	5.6	4	5.2	5.3	3.9	5.7	3.9
Silec	6.3	3.6	5.2	4.2	3.5	5.4	4.8	2.8	5	3.3
Nofiab	2.9	4.2	3.7	2	4.3	3.2	3.7	3.9	2.3	4
MalaCons	1.6	4.2	2.6	2.1	4.3	2.8	2.8	4.4	1.8	4.3
Interesan	3.6	5	4	4.3	3.9	3.4	3.4	5.4	3.3	3.9
Deport	4.1	4.9	3.8	6.2	4.9	5.1	4.3	5.7	4.1	5.2
Incomod	3.2	4	2.4	3.7	4	3.3	2.5	4.3	3.5	4.4
Espacioso 4.2	3.9	5.3	3.5	3.6	3.9	5.8	3.3	4.3	3.6
FacilMan	4.6	4.9	3.5	4.9	4.6	5	3.8	4.7	4.1	4.6
Prestigio	5.4	3.5	5.6	5.3	2.8	4.7	5.4	3.8	6.4	3.3
Ordinar	3.5	3.6	3.4	2.9	4.3	3.9	1.9	4.3	2.8	3.9
Economico	3.6	3.7	3.6	3.2	4.9	5	4.3	3.1	4.3	4.6
Existos	5.3	4.2	5	5.5	3.7	5.6	5.3	4.4	5.9	3.9
Vanguard	4.3	3.6	3.6	4.9	4.4	3.9	4.7	4.1	3.7	4.5
Malacompra	3.4	4.3	4.3	3.5	3.6	2.6	2.9	4.3	3.3	3.8
