DELSPEED;PRICELEV;PRICEFLE;MANUFIMA;SERVICE;SALESFOR;PRODUCTQ;TAMEMP;USAGELEV;SATISFLE;ESPCOMPR;ESTRCOMP;INDUSTRI;SITCOMP
4,1;0,6;6,9;4,7;2,4;2,3;5,2;Small;32;4,2;Total Value Analysis;Decentralized;Industry A Classification;New Task
1,8;3;6,3;6,6;2,5;4;8,4;Large;43;4,3;Specification Buying;Centralized;Other Industries;New Task
2,7;1;7,1;5,9;1,8;2,3;7,8;Large;32;3,9;Specification Buying;Centralized;Industry A Classification;New Task
4,6;2,4;9,5;6,6;3,5;4,5;7,6;Small;46;5,8;Total Value Analysis;Decentralized;Industry A Classification;New Task
2,4;1,6;8,8;4,8;2;2,8;5,8;Small;32;4,3;Total Value Analysis;Decentralized;Other Industries;New Task
2,8;1,4;8,1;3,8;2,1;1,4;6,6;Large;39;4,4;Specification Buying;Centralized;Other Industries;New Task
3,7;1,5;8,6;5,7;2,7;3,7;6,7;Small;38;5;Total Value Analysis;Decentralized;Industry A Classification;New Task
3,4;0,4;8,3;2,5;1,2;1,7;5,2;Small;35;3,3;Total Value Analysis;Decentralized;Other Industries;New Task
2,4;1,5;6,7;4,8;1,9;2,5;7,2;Large;36;3,7;Specification Buying;Centralized;Other Industries;New Task
2,4;1,5;6,6;4,8;1,9;2,5;7,2;Large;36;3,7;Specification Buying;Centralized;Other Industries;New Task
3;3,2;6;5,3;3,1;3;8;Large;43;3,3;Specification Buying;Centralized;Other Industries;New Task
3,4;3,7;6,4;5,7;3,5;3,4;8,4;Large;47;3,8;Specification Buying;Centralized;Other Industries;New Task
2,4;1;7,7;3,4;1,7;1,1;6,2;Large;35;4,1;Specification Buying;Centralized;Other Industries;New Task
1,8;3,3;7,5;4,5;2,5;2,4;7,6;Large;39;3,6;Specification Buying;Centralized;Industry A Classification;New Task
0;2,1;6,9;5,4;1,1;2,6;8,9;Large;29;3,9;Specification Buying;Centralized;Industry A Classification;New Task
2,4;2;6,4;4,5;2,1;2,2;8,8;Large;28;3,3;Specification Buying;Centralized;Industry A Classification;New Task
1,9;3,4;7,6;4,6;2,6;2,5;7,7;Large;40;3,7;Specification Buying;Centralized;Industry A Classification;New Task
2;2,6;6,5;3,7;2,4;1,7;8,5;Large;38;3,2;Specification Buying;Centralized;Industry A Classification;New Task
2,8;2,4;6,7;4,9;2,5;2,6;9,2;Large;32;3,7;Specification Buying;Centralized;Industry A Classification;New Task
3,8;0,8;8,7;2,9;1,6;2,1;5,6;Small;39;3,7;Total Value Analysis;Decentralized;Other Industries;New Task
1,1;2;7,2;4,7;1,6;3,2;10;Large;40;3,4;Specification Buying;Centralized;Industry A Classification;New Task
3;2;6,6;6,6;2,4;2,7;8,2;Large;41;4,1;Specification Buying;Centralized;Other Industries;New Task
1;1,9;7,1;4,5;1,5;3,1;9,9;Large;39;3,3;Specification Buying;Centralized;Industry A Classification;New Task
1,6;2,8;6,1;6,4;2,3;3,8;8,2;Large;41;4,1;Specification Buying;Centralized;Other Industries;New Task
2,3;3,7;7,6;5;3;2,5;7,4;Small;37;4,4;Total Value Analysis;Centralized;Other Industries;New Task
2,5;3,1;7;4,2;2,8;2,2;9;Large;43;3,7;Specification Buying;Centralized;Industry A Classification;New Task
2,1;3,5;7,4;4,8;2,8;2,3;7,2;Small;36;4,3;Total Value Analysis;Centralized;Other Industries;New Task
2,9;1,2;7,3;6,1;2;2,5;8;Large;34;4;Specification Buying;Centralized;Industry A Classification;New Task
1,9;2,7;5;4,9;2,2;2,5;8,2;Large;36;3,6;Specification Buying;Centralized;Other Industries;New Task
4;0,5;6,7;4,5;2,2;2,1;5;Small;31;4;Total Value Analysis;Decentralized;Industry A Classification;New Task
0,6;1,6;6,4;5;0,7;2,1;8,4;Large;25;3,4;Specification Buying;Centralized;Industry A Classification;New Task
2;2,8;5,2;5;2,4;2,7;8,4;Large;38;3,7;Specification Buying;Centralized;Other Industries;New Task
3,1;2,2;6,7;6,8;2,6;2,9;8,4;Large;42;4,3;Specification Buying;Centralized;Other Industries;New Task
2,5;1,8;9;5;2,2;3;6;Small;33;4,4;Total Value Analysis;Decentralized;Other Industries;New Task
3,4;5,2;5,7;6;4,3;2,7;8,2;Large;48;5,2;Specification Buying;Centralized;Industry A Classification;Modified Rebuy
1,9;3,3;7,9;4,8;2,6;1,9;9,7;Large;45;4,4;Specification Buying;Centralized;Industry A Classification;Modified Rebuy
1,3;4,2;6,2;5,1;2,8;2,2;6,9;Large;44;4,3;Specification Buying;Centralized;Other Industries;Modified Rebuy
4;3,5;6,5;6;3,7;3,2;8,7;Large;54;5,4;Specification Buying;Centralized;Other Industries;Modified Rebuy
3,9;2,2;9,1;4,6;3;2,5;8,3;Small;47;5;Total Value Analysis;Decentralized;Industry A Classification;Modified Rebuy
3,2;4,1;5,7;5,1;3,6;2,9;6,2;Small;38;4,4;Total Value Analysis;Centralized;Industry A Classification;Modified Rebuy
4,9;1,8;7,7;4,3;3,4;1,5;5,9;Small;40;5,6;Total Value Analysis;Decentralized;Other Industries;Modified Rebuy
