"CASO" "KCMATER" "HB" "HC" "HD" "HE" "HF" "HG" "HH" "HI" "FIREP" "FICCUID" "FIDIST" "FICDOC" "FICAMIG" "FIPUBLI" "FIAMAB" "FIIMOD" "FIEMOD" "FISEG" "FAMIL" "ELECHOSP" "SERPERF" "ALEALTAD" "AMSERV" "ASCOM" "ACALIDAD" "ACOMOD" "VKC" "VB" "VC" "VD" "VE" "VF" "VG" "VH" "VI" "INTERES" "COMPROM" "ESFUER" "MOTIV" "DIFICULT" "SEXO" "ESTADOMA" "EDAD" "NIVELEDU" "INGRESOS"
"1" 1 0 1 1 0 0 1 0 0 0 5 2 3 6 2 2 3 5 5 3 5 1e+07 0 3 6 3 4 3 0 4 0 0 0 0 3 0 0 5 4 4 3 5 0 0 100 1 1
"2" 2 1 0 0 0 0 0 0 0 0 2 3 5 3 2 2 2 2 3 3 1 0 1 4 2 2 2 6 5 0 2 0 0 7 0 0 0 5 5 4 5 5 1 10 1 0 0
"3" 3 0 1 1 0 0 1 0 0 0 5 3 3 6 3 2 2 6 5 3 6 1e+07 0 5 5 2 4 2 0 3 0 0 0 0 0 0 0 5 5 6 5 6 0 0 100 1 10
"4" 4 0 1 1 0 0 1 0 0 0 6 3 3 4 2 2 3 5 5 3 5 1e+06 0 4 6 2 4 2 0 0 9 0 0 0 0 0 0 6 5 5 4 4 0 0 0 1 1
"5" 5 0 1 1 0 0 1 0 0 0 6 3 3 6 2 2 3 6 5 2 6 1e+07 0 3 5 3 4 3 0 9 0 0 0 0 0 0 0 4 6 5 4 4 0 0 100 1 10
"6" 6 0 1 1 0 0 1 0 0 0 6 3 3 5 2 2 3 5 6 2 5 1e+06 0 5 6 3 4 3 0 0 6 0 0 0 0 0 0 5 4 5 3 6 0 0 100 1 1
"7" 7 0 0 0 0 1 0 1 1 0 2 5 3 2 5 2 5 2 2 3 4 10000 100 2 4 4 6 2 0 0 0 0 8 0 0 5 0 5 5 4 5 4 0 0 100 10 1000
"8" 8 0 0 0 0 1 0 1 1 0 2 5 3 3 5 2 6 2 3 3 3 10000 100 4 4 4 5 3 0 0 0 0 3 0 7 0 0 6 6 6 4 4 0 0 100 0 100
"9" 9 0 0 0 1 0 0 0 0 1 3 4 3 1 3 5 3 2 3 6 1 1 10 2 2 6 2 4 0 0 0 0 0 0 0 3 6 4 4 3 6 5 1 1 1 0 1000
"10" 10 0 1 1 0 0 1 0 0 0 6 4 3 6 2 3 2 5 6 3 6 1e+07 0 3 5 3 4 2 0 8 0 0 0 3 0 0 0 4 4 5 5 5 0 0 100 1 10
