CASO,KCMATER,HB,HC,HD,HE,HF,HG,HH,HI,FIREP,FICCUID,FIDIST,FICDOC,FICAMIG,FIPUBLI,FIAMAB,FIIMOD,FIEMOD,FISEG,FAMIL,ELECHOSP,SERPERF,ALEALTAD,AMSERV,ASCOM,ACALIDAD,ACOMOD,VKC,VB,VC,VD,VE,VF,VG,VH,VI,INTERES,COMPROM,ESFUER,MOTIV,DIFICULT,SEXO,ESTADOMA,EDAD,NIVELEDU,INGRESOS,PC1,PC2,PC3,clusterpca
1,0,1,1,0,0,1,0,0,0,5,2,3,6,2,2,3,5,5,3,5,1e+07,0,3,6,3,4,3,0,4,0,0,0,0,3,0,0,5,4,4,3,5,0,0,100,1,1,2.97112796217462,0.296849633045131,0.131117974699218,1
2,1,0,0,0,0,0,0,0,0,2,3,5,3,2,2,2,2,3,3,1,0,1,4,2,2,2,6,5,0,2,0,0,7,0,0,0,5,5,4,5,5,1,10,1,0,0,0.361590280191906,-1.3285562780146,3.14358531944545,2
3,0,1,1,0,0,1,0,0,0,5,3,3,6,3,2,2,6,5,3,6,1e+07,0,5,5,2,4,2,0,3,0,0,0,0,0,0,0,5,5,6,5,6,0,0,100,1,10,2.99949470678825,0.583940827670683,-0.0364502297219251,1
4,0,1,1,0,0,1,0,0,0,6,3,3,4,2,2,3,5,5,3,5,1e+06,0,4,6,2,4,2,0,0,9,0,0,0,0,0,0,6,5,5,4,4,0,0,0,1,1,2.52897318245123,0.370774002835054,0.10784080607328,1
5,0,1,1,0,0,1,0,0,0,6,3,3,6,2,2,3,6,5,2,6,1e+07,0,3,5,3,4,3,0,9,0,0,0,0,0,0,0,4,6,5,4,4,0,0,100,1,10,3.24433495245426,1.2856866656713,0.152877681757017,1
6,0,1,1,0,0,1,0,0,0,6,3,3,5,2,2,3,5,6,2,5,1e+06,0,5,6,3,4,3,0,0,6,0,0,0,0,0,0,5,4,5,3,6,0,0,100,1,1,3.00576440738112,1.15787118786482,0.228497125195158,1
7,0,0,0,0,1,0,1,1,0,2,5,3,2,5,2,5,2,2,3,4,10000,100,2,4,4,6,2,0,0,0,0,8,0,0,5,0,5,5,4,5,4,0,0,100,10,1000,-2.0611624222136,0.0783523368998813,0.262826381957271,3
8,0,0,0,0,1,0,1,1,0,2,5,3,3,5,2,6,2,3,3,3,10000,100,4,4,4,5,3,0,0,0,0,3,0,7,0,0,6,6,6,4,4,0,0,100,0,100,-1.83570973575166,0.438337040911128,0.0815509658971577,3
9,0,0,0,1,0,0,0,0,1,3,4,3,1,3,5,3,2,3,6,1,1,10,2,2,6,2,4,0,0,0,0,0,0,0,3,6,4,4,3,6,5,1,1,1,0,1000,-0.580083365087917,-3.96535040951549,-0.869540777550885,4
10,0,1,1,0,0,1,0,0,0,6,4,3,6,2,3,2,5,6,3,6,1e+07,0,3,5,3,4,2,0,8,0,0,0,3,0,0,0,4,4,5,5,5,0,0,100,1,10,3.27259419023611,0.154103538733167,-0.335338976148454,1
11,0,0,0,0,1,0,1,1,0,3,6,2,2,4,2,6,3,3,3,3,100,100,3,3,4,5,3,0,0,0,0,0,0,6,6,0,4,4,5,4,4,0,0,100,100,1000,-1.56792575854469,0.805945199769697,-1.15020597439722,3
12,0,1,1,0,0,1,0,0,0,6,4,2,5,3,2,3,5,5,3,5,1000,0,4,6,3,4,2,0,0,0,0,4,6,0,0,0,4,4,4,5,4,0,0,0,1,1,2.2839300217705,0.992576107357203,-1.297931960717,1
13,0,0,0,0,1,0,1,1,0,2,5,3,2,5,2,6,3,3,2,4,10000,100,3,3,4,5,3,0,0,0,0,0,0,0,4,0,2,5,4,4,4,0,0,100,100,1000,-1.82181708334097,1.03181447973521,0.308063207880453,3
14,0,0,0,0,1,0,1,1,0,2,6,3,2,4,2,6,3,2,3,3,100,100,3,4,4,6,2,0,0,0,0,0,0,0,0,0,3,4,4,4,6,0,0,1,10,100,-2.04339304765434,0.385605747503184,0.138952543841369,3
15,0,0,0,0,1,0,1,1,0,2,4,3,2,5,2,5,3,2,3,3,10000,100,4,4,4,5,3,0,0,0,0,6,0,0,0,0,4,6,4,3,4,0,0,100,10,10000,-1.59352965503391,0.0291359523533255,0.276574925034619,3
