Observations	Fst2Try	Fashnista	PplThnkMe	PplAskMe	FashnMzne	NoBgDeal	NotBld	OnlyBest	ExclsvShop	WhrFrndShop	OtherPpl	MagznNews	Catlg	Internet	Excitbl	Thrfty	Contemp	Rationl	Yuthfl	Orthdx	Modst	Age	ApparelEx	Income	Edu
1	1	1	4	1	1	4	6	2	1	1	4	4	4	4	3	2	2	4	4	5	2	4	1	4	2
2	3	3	4	4	3	2	5	3	1	1	3	5	5	1	6	2	3	2	6	4	5	2	2	4	2
3	1	1	3	1	1	5	4	1	1	1	1	1	1	1	4	3	4	4	6	6	3	3	1	1	1
4	1	2	3	2	2	2	1	2	1	1	4	4	4	4	3	1	4	5	3	6	3	3	1	4	2
5	3	3	4	3	3	3	5	3	2	2	5	5	5	2	6	4	4	2	5	5	2	3	2	1	3
6	2	2	2	2	2	2	6	2	1	1	1	1	1	1	5	2	4	1	6	6	2	3	1	4	2
7	3	4	4	6	5	2	3	4	3	3	6	6	4	4	4	5	2	4	2	5	3	2	2	2	2
8	1	1	1	1	2	5	4	3	1	1	1	1	2	1	3	6	6	6	5	6	4	3	2	1	1
9	1	1	1	1	1	3	2	3	2	1	3	4	5	1	7	4	5	2	6	4	4	2	2	3	1
10	3	3	3	3	5	2	4	5	1	1	1	1	1	1	5	4	4	7	7	5	4	2	3	4	2
11	3	4	4	2	4	4	2	2	1	1	5	5	4	4	1	4	4	1	4	5	1	3	2	4	2
12	2	1	2	1	1	6	6	3	2	2	2	2	2	2	7	7	4	4	7	5	4	4	1	1	1
13	1	5	4	4	5	1	3	1	7	1	6	4	4	4	5	6	3	5	5	7	5	3	4	2	2
14	4	3	3	4	5	4	5	4	4	4	4	2	2	2	6	5	4	5	6	3	3	1	2	5	2
15	2	3	4	3	5	4	2	3	3	2	2	4	5	1	4	5	3	4	1	4	3	4	1	1	3
16	1	1	1	1	1	4	5	1	1	1	2	2	4	2	5	4	4	4	4	5	4	4	1	1	2
17	1	1	1	1	1	2	5	2	3	2	1	3	3	1	7	5	5	1	5	4	5	4	2	1	1
18	2	4	4	3	5	3	6	3	5	4	5	5	5	2	5	5	4	3	5	5	3	2	2	5	3
19	1	4	5	3	5	4	4	3	2	1	4	5	5	1	5	2	4	3	2	7	2	2	1	1	2
20	2	4	2	2	2	2	6	2	2	2	6	6	6	1	7	2	2	1	4	7	3	2	2	3	1
21	1	1	2	2	2	3	5	4	3	1	2	2	5	2	5	3	4	2	3	6	4	2	2	2	2
22	2	3	6	3	6	2	2	4	1	1	2	2	5	2	2	1	5	1	3	5	4	3	2	4	1
23	3	4	3	4	5	2	3	6	2	3	5	4	4	4	4	3	3	2	6	5	3	4	3	5	3
24	2	2	2	2	2	4	6	5	2	2	5	3	3	1	7	1	1	1	6	5	1	4	2	4	2
25	1	1	1	1	3	3	5	4	2	1	2	5	6	1	3	3	4	3	4	4	4	3	2	1	2
26	3	4	4	4	4	3	5	6	5	4	2	4	4	2	6	1	2	1	6	4	2	2	1	4	2
27	1	4	3	2	2	2	6	5	3	3	2	5	5	1	6	2	4	5	6	5	2	4	2	4	3
28	1	1	1	2	1	6	7	5	5	1	5	2	6	2	4	3	6	3	5	3	3	2	3	5	1
29	1	2	3	2	2	3	5	5	2	2	1	1	1	1	6	2	3	2	4	3	3	4	2	1	1
30	3	2	3	2	3	5	5	6	2	2	3	2	4	1	3	3	3	3	4	4	2	3	1	2	2
31	3	6	5	4	5	2	4	5	2	2	4	4	6	2	4	1	3	1	4	4	2	2	2	4	2
32	4	4	3	3	3	4	6	4	3	4	4	4	6	4	6	2	2	2	3	3	3	2	2	4	2
33	2	4	4	2	2	2	2	2	2	2	2	6	5	2	4	3	3	5	6	5	5	4	1	2	2
34	1	1	2	1	1	4	6	5	4	1	3	1	1	1	6	1	2	1	7	2	1	3	1	2	1
35	3	3	4	2	3	4	5	5	1	1	2	3	3	1	4	3	4	2	3	4	2	3	2	2	2
36	1	2	4	4	4	5	6	6	1	1	5	5	5	1	6	1	2	1	4	4	2	2	1	5	3
37	4	4	4	4	5	3	4	4	2	2	2	3	5	2	5	4	2	2	4	6	2	3	2	3	1
38	3	3	3	2	3	3	5	6	6	2	5	3	3	1	6	4	3	7	4	7	3	2	2	2	1
39	3	3	4	1	5	3	5	7	1	1	1	1	3	1	4	2	3	4	5	4	4	3	2	1	1
40	1	3	4	6	5	3	3	5	6	1	5	5	5	1	3	3	2	4	6	3	5	3	2	5	1
41	2	4	4	2	2	4	6	6	2	2	2	5	5	2	7	2	6	2	7	2	2	4	1	1	2
42	6	5	6	7	7	1	1	4	3	3	2	6	6	6	5	5	3	3	3	4	1	3	3	4	2
43	3	4	4	3	4	2	4	5	4	2	4	3	4	1	4	4	4	4	3	7	6	2	2	2	1
44	2	3	4	4	3	3	5	5	3	3	5	3	6	4	3	5	3	5	3	3	2	3	2	4	1
45	3	5	5	5	7	1	3	4	5	1	1	5	5	1	1	6	2	6	6	6	5	3	2	4	3
46	3	3	3	4	5	3	4	6	2	3	6	5	5	2	5	5	3	2	2	5	2	2	2	2	2
47	4	3	4	5	3	2	4	5	2	2	2	5	5	1	3	4	2	1	5	6	4	3	2	5	2
48	6	4	1	2	2	1	2	6	1	1	1	1	1	1	7	4	7	4	7	7	4	4	1	2	2
49	2	3	4	3	3	4	5	3	4	4	4	5	5	4	3	4	3	2	3	6	4	2	3	2	2
50	4	2	3	3	1	5	5	4	4	4	2	2	2	2	4	4	4	4	4	4	4	1	2	3	3
51	3	5	5	3	6	3	3	6	2	2	6	5	5	1	6	4	1	4	5	5	4	3	1	4	2
52	4	5	5	5	5	1	2	5	3	3	5	5	6	2	5	4	3	5	4	4	4	2	4	4	2
53	4	4	4	5	6	2	3	4	4	4	4	4	5	1	3	2	4	4	4	7	1	2	1	2	3
54	2	5	3	2	2	4	5	5	2	2	7	5	6	4	4	5	3	5	4	6	2	1	1	5	2
55	1	4	4	4	4	2	7	2	1	1	2	4	4	1	6	4	4	5	3	4	2	2	2	2	1
56	2	3	4	3	3	2	5	5	2	2	4	5	6	2	5	3	3	2	4	3	3	3	3	5	1
57	2	2	3	2	2	3	6	6	1	1	2	2	2	2	3	4	6	6	6	6	3	4	1	1	1
