Atributes	CompaqIPac	Casio_Cassuioeia	HP_Jornada	Visor_Prism	Sony_CLIE	PalmV	PalmVII	Connector
Value	7,3	7	7,1	6,8	5,8	7,1	7,4	4,4
Monitor	5,5	8,3	8,4	7,2	8,7	3,8	4	4
Memory	6,8	8,2	8,8	4,3	4,2	3,9	4,1	3,3
Data_Entry	5,2	5,5	5,6	5,2	4,9	4,4	4,6	7,7
Stylishness	7,8	7,9	7,1	5,5	7,3	6,6	5,9	4,9
Light_weight	8,2	3,7	4	6,3	8,3	8,5	6	6,5
Internet	6,9	6,4	6,1	4,1	5,2	3,6	3,7	2,6
Multimedia	5,6	8,3	8,5	5,8	7,8	5	5,2	3,4
Sturdiness	6,4	5,4	5,9	6,5	5,9	6,2	4,7	5,5
Connectivity	7,3	6,1	7,2	6	5,9	6,1	7,7	8,5
Software	7,3	7,4	7,8	5,3	5,4	5,4	5,5	3,5
ThirdPartySW	5	4,9	5,1	7,6	7,4	7,6	7,5	6,3
Functionality	7,2	7	6,9	7,1	7	6,7	5,8	6,6
Expandability	6,4	6,6	6,5	7,7	7	4,7	4,7	4,5
Ease_of_Use	7,1	7	7,2	7,2	7,3	7,1	6,5	6,6
Preference	6,6	6,1	6,2	6,3	4,9	5,6	6,2	5,8
