row.names	CompaqIPac	Casio_Cassuioeia	HP_Jornada	Visor_Prism	Sony_CLIE	PalmV	PalmVII	Connector
1	6	4	5	8	3	7	7	8
2	6	6	4	7	1	8	6	9
3	9	9	8	5	7	2	5	4
4	4	4	5	7	4	6	7	7
5	8	5	4	6	4	5	8	5
6	5	3	4	4	1	7	7	8
7	4	5	6	8	4	8	9	7
8	8	5	5	8	3	9	6	9
9	5	5	6	8	6	8	9	8
10	7	6	7	6	6	4	4	5
11	6	5	4	5	1	7	7	8
12	7	8	9	4	6	4	4	5
13	7	7	8	6	6	4	5	4
14	8	7	8	6	6	5	5	4
15	6	4	4	4	2	5	8	8
16	5	2	5	9	5	7	8	7
17	8	9	9	7	5	3	4	3
18	7	9	8	6	7	4	5	4
19	6	5	5	9	4	8	8	8
20	5	8	5	9	4	8	9	9
21	9	8	8	6	6	3	5	5
22	7	6	5	5	1	8	9	7
23	9	7	8	6	6	4	6	3
24	4	7	6	9	5	7	9	6
25	6	8	8	6	7	4	5	5
26	8	9	8	5	6	4	5	3
27	8	4	4	3	4	7	6	8
28	9	8	8	7	6	5	4	3
29	6	9	8	6	7	5	4	4
30	5	4	5	7	5	8	6	6
31	7	6	5	8	6	7	7	9
32	6	4	3	5	2	6	7	9
33	7	8	7	5	6	4	5	4
34	8	8	8	6	6	4	4	4
35	4	3	4	6	6	8	9	7
36	7	9	9	6	7	2	4	2
37	8	6	8	7	9	4	3	3
38	6	3	4	4	3	7	8	9
39	6	4	3	8	5	7	7	8
40	9	7	7	6	7	4	5	5
41	7	8	8	5	6	4	4	3
42	7	7	7	6	6	5	4	4
43	6	6	7	9	5	8	9	2
44	6	3	3	4	1	7	8	8
45	5	8	7	6	7	4	3	4
46	8	7	8	6	6	4	4	4
47	7	8	8	6	8	3	4	3
48	7	4	4	4	1	8	9	7
49	4	3	4	7	3	6	8	6
50	7	8	7	7	5	4	6	7
