Innovador	UsePage	UsePhone	UseSchdl	InfoPaisve	InfoActive	RemoteLoc	Wireless	ShareInfo	Monthly	Invoice	Age	Eduaction	Income	Construction	Emergency	Sales	Service	Professnl	PDA	Bus_Week	PC_Mag	Fiel&Stream	M_Gourmet
1	2	4	4	1	2	5	1	5	20	500	32	3	20	0	0	0	0	0	0	0	1	0	0
3	5	3	3	5	5	5	7	2	40	650	42	3	47	0	0	0	1	0	0	0	0	0	0
4	3	3	4	2	3	4	2	5	30	800	22	3	28	0	0	0	1	0	0	1	1	0	0
1	1	6	5	2	2	3	2	3	10	650	46	2	45	0	0	1	0	0	0	1	0	0	0
3	4	2	6	5	4	4	1	3	35	650	54	2	51	0	0	0	1	0	0	0	0	1	0
6	4	5	5	4	5	5	2	2	0	1400	25	4	81	0	0	0	0	1	1	0	1	0	1
3	5	1	1	6	6	5	7	5	50	2150	46	1	25	1	0	0	0	0	0	0	0	1	0
6	5	6	4	3	4	4	1	2	20	1950	33	3	42	0	0	0	0	1	1	0	1	1	0
1	2	6	6	6	6	6	1	5	10	450	35	4	30	0	0	0	0	1	0	0	1	0	1
1	1	5	7	5	5	3	3	4	10	750	51	1	41	0	0	1	0	0	0	0	0	0	0
1	2	4	3	2	3	5	2	4	5	550	50	3	39	0	0	1	0	0	0	0	1	0	0
7	5	4	6	5	5	6	5	3	35	1100	43	3	37	0	0	0	0	1	0	0	0	0	1
3	4	4	3	1	2	5	1	2	10	500	25	2	22	0	0	1	0	0	0	0	0	0	0
3	4	2	2	6	4	5	5	5	40	1800	24	1	44	1	0	0	0	0	0	0	0	1	0
3	5	3	5	4	4	4	4	5	25	1500	46	2	28	0	0	0	0	1	0	0	0	1	0
6	4	5	5	4	5	5	2	2	0	1400	35	2	46	0	0	0	0	0	1	1	0	0	0
5	4	2	3	7	5	4	2	1	15	500	52	1	50	0	0	0	1	0	0	0	0	0	0
3	5	1	4	3	4	6	6	3	10	500	51	1	60	0	0	0	0	0	0	0	0	0	0
3	2	4	4	3	4	6	1	4	10	500	20	1	35	0	0	1	0	0	1	1	0	0	0
2	5	2	1	5	6	5	7	6	30	2100	23	3	33	1	0	0	0	0	0	0	0	1	0
2	5	2	1	5	5	5	3	4	35	550	33	1	42	0	0	0	1	0	1	0	1	0	0
4	2	6	5	6	4	4	1	4	20	550	25	3	32	0	1	0	0	0	0	1	0	0	0
4	2	5	5	6	4	4	1	3	10	500	20	3	42	0	0	1	0	0	1	1	1	0	0
7	2	5	6	2	3	5	1	2	0	1100	49	4	103	0	0	0	0	0	1	0	1	0	0
3	4	2	3	5	4	5	5	3	35	750	32	1	48	0	0	0	1	0	0	0	1	0	0
3	5	4	2	7	5	4	6	5	30	2200	40	1	27	0	1	0	0	0	0	0	0	1	0
2	5	2	1	5	4	6	6	3	40	650	44	3	39	1	0	0	0	0	0	0	0	1	0
2	4	3	2	1	2	4	2	3	15	750	53	1	37	0	0	0	0	1	1	0	1	0	0
4	1	4	3	4	3	4	1	4	5	700	41	1	33	0	0	1	0	0	0	0	1	0	0
3	2	4	4	3	4	4	1	3	20	450	24	1	51	0	0	1	0	0	0	0	1	0	0
4	6	2	5	3	4	5	7	4	45	650	43	1	42	0	0	0	0	1	0	0	0	0	0
2	2	4	5	5	4	4	1	4	5	550	23	3	33	0	0	1	0	0	0	0	0	0	0
3	1	7	2	3	4	5	2	5	15	250	53	3	34	0	0	0	0	0	1	0	0	0	0
6	5	2	5	6	5	6	2	7	45	1700	48	2	45	1	0	0	0	0	1	0	1	0	0
3	5	2	4	6	5	4	5	5	45	1400	21	2	46	0	1	0	0	0	0	0	0	0	0
5	5	4	7	2	7	2	2	3	30	1200	24	2	88	0	0	0	0	1	1	1	1	0	0
2	2	4	4	1	3	7	2	3	0	250	52	3	30	1	0	0	0	0	0	0	0	1	0
1	2	5	5	2	3	4	1	4	15	450	24	3	56	1	0	0	0	0	1	0	0	0	0
6	4	2	5	2	5	1	2	2	30	1800	26	4	102	0	0	0	0	1	1	1	1	1	0
1	2	7	5	4	4	5	1	4	10	550	23	3	60	0	0	0	1	0	0	1	1	0	0
3	1	4	4	7	5	6	1	3	15	450	26	2	43	0	0	1	0	0	0	0	0	1	0
1	1	7	6	2	3	2	2	3	35	500	52	2	39	0	0	0	0	0	0	0	0	0	0
6	3	5	7	2	5	5	1	4	0	2100	51	3	48	0	0	1	0	0	0	1	0	0	0
2	1	4	4	1	2	4	2	3	20	600	53	3	42	0	0	0	1	0	0	0	0	0	0
6	5	4	2	4	4	4	6	2	40	700	28	3	29	0	0	0	1	0	0	0	0	0	0
4	2	3	3	5	5	3	1	3	10	550	30	3	24	0	0	1	0	0	0	0	0	0	0
6	5	5	6	4	2	6	1	1	10	2200	48	4	104	0	0	0	0	1	1	1	1	0	1
6	4	1	6	2	3	5	5	2	35	700	40	1	47	0	0	1	0	0	0	1	1	0	0
6	4	2	5	2	5	1	2	2	30	1800	43	2	33	0	0	0	0	1	1	0	1	0	0
5	4	1	4	4	4	4	6	2	10	950	24	3	31	0	0	0	1	0	0	0	1	0	0
